Reading List ID,Google Books ID,Apple Books ID,ISBN-13,Title,Subtitle,Authors,Page Count,Publication Date,Publisher,Description,Subjects,Language Code,Started Reading,Paused,Finished Reading,Did Not Finish,Current Page,Current Percentage,Rating,Notes,Lists
1ED3A4E9-12E9-44E8-B811-FBD164BF26CF,WN5TDwAAQBAJ,,9780143110910,Behave,The Biology of Humans at Our Best and Worst,"Sapolsky, Robert M.",800,,Penguin Publishing Group,"New York Times bestseller  • Winner of the Los Angeles Times Book Prize  • One of the Washington Post's 10 Best Books of the Year

“It’s no exaggeration to say that Behave is one of the best nonfiction books I’ve ever read.” —David P. Barash, The Wall Street Journal

""It has my vote for science book of the year.” —Parul Sehgal, The New York Times

""Immensely readable, often hilarious...Hands-down one of the best books I’ve read in years. I loved it."" —Dina Temple-Raston, The Washington Post

From the bestselling author of A Primate's Memoir and the forthcoming Determined: A Science of Life Without Free Will comes a landmark, genre-defining examination of human behavior and an answer to the question: Why do we do the things we do?

Behave is one of the most dazzling tours d’horizon of the science of human behavior ever attempted. Moving across a range of disciplines, Sapolsky—a neuroscientist and primatologist—uncovers the hidden story of our actions. Undertaking some of our thorniest questions relating to tribalism and xenophobia, hierarchy and competition, and war and peace, Behave is a towering achievement—a majestic synthesis of cutting-edge research and a heroic exploration of why we ultimately do the things we do . . . for good and for ill.",Biology; Criminology; Life Sciences; Neuroscience; Science; Social Science,en,,,,,,,,,
AFAEFDF9-A5CA-49BE-9958-C5E8637EC9A5,DCqFYOrGyegC,,9781588367679,Fooled by Randomness,The Hidden Role of Chance in Life and in the Markets,"Taleb, Nassim Nicholas",368,,Random House Publishing Group,"Fooled by Randomness is a standalone book in Nassim Nicholas Taleb’s landmark Incerto series, an investigation of opacity, luck, uncertainty, probability, human error, risk, and decision-making in a world we don’t understand. The other books in the series are The Black Swan, Antifragile, Skin in the Game, and The Bed of Procrustes.

Fooled by Randomness is the word-of-mouth sensation that will change the way you think about business and the world. Nassim Nicholas Taleb–veteran trader, renowned risk expert, polymathic scholar, erudite raconteur, and New York Times bestselling author of The Black Swan–has written a modern classic that turns on its head what we believe about luck and skill.

This book is about luck–or more precisely, about how we perceive and deal with luck in life and business. Set against the backdrop of the most conspicuous forum in which luck is mistaken for skill–the world of trading–Fooled by Randomness provides captivating insight into one of the least understood factors in all our lives. Writing in an entertaining narrative style, the author tackles major intellectual issues related to the underestimation of the influence of happenstance on our lives.

The book is populated with an array of characters, some of whom have grasped, in their own way, the significance of chance: the baseball legend Yogi Berra; the philosopher of knowledge Karl Popper; the ancient world’s wisest man, Solon; the modern financier George Soros; and the Greek voyager Odysseus. We also meet the fictional Nero, who seems to understand the role of randomness in his professional life but falls victim to his own superstitious foolishness.

However, the most recognizable character of all remains unnamed–the lucky fool who happens to be in the right place at the right time–he embodies the “survival of the least fit.” Such individuals attract devoted followers who believe in their guru’s insights and methods. But no one can replicate what is obtained by chance.

Are we capable of distinguishing the fortunate charlatan from the genuine visionary? Must we always try to uncover nonexistent messages in random events? It may be impossible to guard ourselves against the vagaries of the goddess Fortuna, but after reading Fooled by Randomness we can be a little better prepared.

Named by Fortune One of the Smartest Books of All Time

A Financial Times Best Business Book of the Year",Business & Economics; Finance; Investments & Securities; Statistics,en,,,,,,,,,
832C3831-D3D0-49B4-83BF-DDE59C8059D8,Zu2hEAAAQBAJ,,9780691164076,How to Solve it,A New Aspect of Mathematical Method,"Pólya, George",288,,Princeton University Press,"A perennial bestseller by eminent mathematician G. Polya, How to Solve It will show anyone in any field how to think straight. In lucid and appealing prose, Polya reveals how the mathematical method of demonstrating a proof or finding an unknown can be of help in attacking any problem that can be ""reasoned"" out--from building a bridge to winning a game of anagrams. Generations of readers have relished Polya's deft--indeed, brilliant--instructions on stripping away irrelevancies and going straight to the heart of the problem.",Decision-Making & Problem Solving; Education; Geometry; Logic; Mathematics; Study & Teaching,en,,,,,,,,,
A7649C44-5FD2-4BC5-AD28-AB0B9898ABAF,_0YB05NPhJUC,,9780684833392,Catch-22,,"Heller, Joseph",464,,Simon & Schuster,"Catch-22 is like no other novel. It is one of the funniest books ever written, a keystone work in American literature, and even added a new term to the dictionary.

At the heart of Catch-22 resides the incomparable, malingering bombardier, Yossarian, a hero endlessly inventive in his schemes to save his skin from the horrible chances of war. His efforts are perfectly understandable because as he furiously scrambles, thousands of people he hasn't even met are trying to kill him. His problem is Colonel Cathcart, who keeps raising the number of missions the men must fly to complete their service. Yet if Yossarian makes any attempts to excuse himself from the perilous missions that he is committed to flying, he is trapped by the Great Loyalty Oath Crusade, the hilariously sinister bureaucratic rule from which the book takes its title: a man is considered insane if he willingly continues to fly dangerous combat missions, but if he makes the necessary formal request to be relieved of such missions, the very act of making the request proves that he is sane and therefore ineligible to be relieved.

Catch-22 is a microcosm of the twentieth-century world as it might look to some one dangerously sane -- a masterpiece of our time.",Classics; Fiction; Literary,en,,,,,,,,,
12483818-6A21-4134-9ECC-71808E952153,1RbuDwAAQBAJ,,9781501197253,The Founders,The Story of Paypal and the Entrepreneurs Who Shaped Silicon Valley,"Soni, Jimmy",496,,Simon and Schuster,"A SABEW BEST IN BUSINESS BOOK AWARDS FINALIST
NAMED A BEST BOOK OF 2022 BY THE NEW YORKER
National Bestseller * New York Times Editors’ Choice * Financial Times “Books to Read in 2022”

“A gripping account of PayPal’s origins and a vivid portrait of the geeks and contrarians who made its meteoric rise possible” (The Wall Street Journal)—including Elon Musk, Amy Rowe Klement, Peter Thiel, Julie Anderson, Max Levchin, Reid Hoffman, and many others whose stories have never been shared.

Today, PayPal’s founders and earliest employees are considered the technology industry’s most powerful network. Since leaving PayPal, they have formed, funded, and advised the leading companies of our era, including Tesla, Facebook, YouTube, SpaceX, Yelp, Palantir, and LinkedIn, among many others. As a group, they have driven twenty-first-century innovation and entrepreneurship. Their names stir passions; they’re as controversial as they are admired.

Yet for all their influence, the story of where they first started has gone largely untold. Before igniting the commercial space race or jumpstarting social media’s rise, they were the unknown creators of a scrappy online payments start-up called PayPal. In building what became one of the world’s foremost companies, they faced bruising competition, internal strife, the emergence of widespread online fraud, and the devastating dot-com bust of the 2000s. Their success was anything but certain.

In The Founders: The Story of PayPal and the Entrepreneurs Who Shaped Silicon Valley, award-winning author and biographer Jimmy Soni explores PayPal’s turbulent early days. With hundreds of interviews and unprecedented access to thousands of pages of internal material, he shows how the seeds of so much of what shapes our world today—fast-scaling digital start-ups, cashless currency concepts, mobile money transfer—were planted two decades ago. He also reveals the stories of countless individuals who were left out of the front-page features and banner headlines but who were central to PayPal’s success.

Described as “an intensely magnetic chronicle” (The New York Times) and “engrossing” (Business Insider), The Founders is a story of iteration and inventiveness—the products of which have cast a long and powerful shadow over modern life. This narrative illustrates how this rare assemblage of talent came to work together and how their collaboration changed our world forever.",Biography & Autobiography; Business & Economics; Digital Marketing; E-Commerce; Entrepreneurship; Science & Technology,en,,,,,,,,,Bookshelf (12)
A73D0FE5-62C6-4FBA-95C0-A31C6E11E09B,jo8oEAAAQBAJ,,9781250788450,The Brothers Karamazov (Bicentennial Edition),A Novel in Four Parts With Epilogue,"Dostoevsky, Fyodor",880,,Picador,"Winner of the Pen/Book-of-the-Month Club Translation Prize

The award-winning translation of Fyodor Dostoevsky's classic novel of psychological realism.

The Brothers Karamazov is a murder mystery, a courtroom drama, and an exploration of erotic rivalry in a series of triangular love affairs involving the “wicked and sentimental” Fyodor Pavlovich Karamazov and his three sons—the impulsive and sensual Dmitri; the coldly rational Ivan; and the healthy, red-cheeked young novice Alyosha. Through the gripping events of their story, Dostoevsky portrays the whole of Russian life, its social and spiritual striving, in what was both the golden age and a tragic turning point in Russian culture.

This award-winning translation by Richard Pevear and Larissa Volokhonsky remains true to the verbal inventiveness of Dostoevsky’s prose, preserving the multiple voices, the humor, and the surprising modernity of the original. It is an achievement worthy of Dostoevsky’s last and greatest novel.",19th Century; Classics; Fiction; Russia; World Literature,en,,,,,,,,,
BB2AF1BE-6268-4698-B918-AA24C4A3B88E,yHfxyQEACAAJ,,9781476766690,A Mind at Play,How Claude Shannon Invented the Information Age,"Soni, Jimmy; Goodman, Rob",384,,Simon & Schuster,"Winner of the Neumann Prize for the History of Mathematics

""We owe Claude Shannon a lot, and Soni & Goodman’s book takes a big first step in paying that debt."" —San Francisco Review of Books

""Soni and Goodman are at their best when they invoke the wonder an idea can instill. They summon the right level of awe while stopping short of hyperbole."" —Financial Times

""Jimmy Soni and Rob Goodman make a convincing case for their subtitle while reminding us that Shannon never made this claim himself."" —The Wall Street Journal

“A charming account of one of the twentieth century’s most distinguished scientists…Readers will enjoy this portrait of a modern-day Da Vinci.” —Fortune

In their second collaboration, biographers Jimmy Soni and Rob Goodman present the story of Claude Shannon—one of the foremost intellects of the twentieth century and the architect of the Information Age, whose insights stand behind every computer built, email sent, video streamed, and webpage loaded. Claude Shannon was a groundbreaking polymath, a brilliant tinkerer, and a digital pioneer. He constructed the first wearable computer, outfoxed Vegas casinos, and built juggling robots. He also wrote the seminal text of the digital revolution, which has been called “the Magna Carta of the Information Age.” In this elegantly written, exhaustively researched biography, Soni and Goodman reveal Claude Shannon’s full story for the first time. With unique access to Shannon’s family and friends, A Mind at Play brings this singular innovator and always playful genius to life.",Biography & Autobiography; Computers; Digital; Electronics; Information Theory; Science & Technology; Technology & Engineering,en,,,,,,,,,Bookshelf (10)
E29B3758-BBFB-4264-B0BB-2ACA5755E0A2,daz-ygEACAAJ,,9781529034523,The Hitchhiker's Guide to the Galaxy,Volume One in the Trilogy of Five,"Adams, Douglas",224,,Pan Macmillan,"It's an ordinary Thursday lunchtime for Arthur Dent until his house gets demolished. The Earth follows shortly afterwards to make way for a new hyperspace express route, and his best friend has just announced that he's an alien. At this moment, they're hurtling through space with nothing but their towels and an innocuous-looking book inscribed, in large friendly letters, with the words: DON'T PANIC. The weekend has only just begun . . . With exclusive bonus material from the Douglas Adams archives, and an introduction by former Doctor Who showrunner, Russell T Davies.",Alien Contact; Science Fiction; Young Adult Fiction,en,,,,,,,,,Bookshelf (1); Science Fiction (1)
5D650A13-41E5-4E10-BDBB-F987E61C2F63,3RjBEAAAQBAJ,,9781953953315,The Art of Doing Science and Engineering,Learning to Learn,", Richard W. Hamming",432,,Stripe Press,"A groundbreaking treatise by one of the great mathematicians of our time, who argues that highly effective thinking can be learned.

What spurs on and inspires a great idea? Can we train ourselves to think in a way that will enable world-changing understandings and insights to emerge?

Richard Hamming said we can, and first inspired a generation of engineers, scientists, and researchers in 1986 with &quot;You and Your Research,&quot; an electrifying sermon on why some scientists do great work, why most don't, why he did, and why you should, too. The Art of Doing Science and Engineering is the full expression of what &quot;You and Your Research&quot; outlined. It's a book about thinking; more specifically, a style of thinking by which great ideas are conceived.

The book is filled with stories of great people performing mighty deeds––but they are not meant to simply be admired. Instead, they are to be aspired to, learned from, and surpassed. Hamming consistently returns to Shannon’s information theory, Einstein’s relativity, Grace Hopper’s work on high-level programming, Kaiser’s work on digital fillers, and his own error-correcting codes. He also recounts a number of his spectacular failures as clear examples of what to avoid.

Originally published in 1996 and adapted from a course that Hamming taught at the U.S. Naval Postgraduate School, this edition includes an all-new foreword by designer, engineer, and founder of Dynamicland Bret Victor, and more than 70 redrawn graphs and charts.

The Art of Doing Science and Engineering is a reminder that a childlike capacity for learning and creativity are accessible to everyone. Hamming was as much a teacher as a scientist, and having spent a lifetime forming and confirming a theory of great people, he prepares the next generation for even greater greatness.",Computer Science; Computers; Engineering (General); History; Information Technology; Inventions; Research; Technology & Engineering,en,,,,,,,,,Bookshelf (11)
3EB216D6-4E4B-493D-B2B4-8F17ED5BA482,63yk44Sc59EC,,9780465026562,"Godel, Escher, Bach",An Eternal Golden Braid,"Hofstadter, Douglas R.",824,,Basic Books,"Winner of the Pulitzer Prize
A metaphorical fugue on minds and machines in the spirit of Lewis Carroll
Douglas Hofstadter's book is concerned directly with the nature of ""maps"" or links between formal systems. However, according to Hofstadter, the formal system that underlies all mental activity transcends the system that supports it. If life can grow out of the formal chemical substrate of the cell, if consciousness can emerge out of a formal system of firing neurons, then so too will computers attain human intelligence. Gödel, Escher, Bach is a wonderful exploration of fascinating ideas at the heart of cognitive science: meaning, reduction, recursion, and much more.",Computers; Logic; Machine Theory; Mathematics; Philosophy,en,,,,,,,,,Bookshelf (26)
