ISBN-13,Google Books ID,Reading List ID,Title,Subtitle,Authors,Page Count,Publication Date,Publisher,Description,Subjects,Language Code,Started Reading,Paused,Finished Reading,Did Not Finish,Current Page,Current Percentage,Rating,Notes,Lists
9781449389550,RzrKSQAACAAJ,,Hackers & Painters,Big Ideas from the Computer Age,"Graham, Paul",258,,O'Reilly,"""The computer world is like an intellectual Wild West, in which you can shoot anyone you wish with your ideas, if you're willing to risk the consequences. "" --from Hackers & Painters: Big Ideas from the Computer Age, by Paul Graham

We are living in the computer age, in a world increasingly designed and engineered by computer programmers and software designers, by people who call themselves hackers. Who are these people, what motivates them, and why should you care?

Consider these facts: Everything around us is turning into computers. Your typewriter is gone, replaced by a computer. Your phone has turned into a computer. So has your camera. Soon your TV will. Your car was not only designed on computers, but has more processing power in it than a room-sized mainframe did in 1970. Letters, encyclopedias, newspapers, and even your local store are being replaced by the Internet.

Hackers & Painters: Big Ideas from the Computer Age, by Paul Graham, explains this world and the motivations of the people who occupy it. In clear, thoughtful prose that draws on illuminating historical examples, Graham takes readers on an unflinching exploration into what he calls ""an intellectual Wild West.""

The ideas discussed in this book will have a powerful and lasting impact on how we think, how we work, how we develop technology, and how we live. Topics include the importance of beauty in software design, how to make wealth, heresy and free speech, the programming language renaissance, the open-source movement, digital design, internet startups, and more.",Algorithms; Computer Science; Computers; Data Science; Information Technology; Information Theory; Internet; Linux; Networking; Operating Systems; Programming; Security; Social Aspects,en,,,,,,,,,Bookshelf (24)
9781953953315,3RjBEAAAQBAJ,,The Art of Doing Science and Engineering,Learning to Learn,", Richard W. Hamming",432,,Stripe Press,"A groundbreaking treatise by one of the great mathematicians of our time, who argues that highly effective thinking can be learned.

What spurs on and inspires a great idea? Can we train ourselves to think in a way that will enable world-changing understandings and insights to emerge?

Richard Hamming said we can, and first inspired a generation of engineers, scientists, and researchers in 1986 with &quot;You and Your Research,&quot; an electrifying sermon on why some scientists do great work, why most don't, why he did, and why you should, too. The Art of Doing Science and Engineering is the full expression of what &quot;You and Your Research&quot; outlined. It's a book about thinking; more specifically, a style of thinking by which great ideas are conceived.

The book is filled with stories of great people performing mighty deeds––but they are not meant to simply be admired. Instead, they are to be aspired to, learned from, and surpassed. Hamming consistently returns to Shannon’s information theory, Einstein’s relativity, Grace Hopper’s work on high-level programming, Kaiser’s work on digital fillers, and his own error-correcting codes. He also recounts a number of his spectacular failures as clear examples of what to avoid.

Originally published in 1996 and adapted from a course that Hamming taught at the U.S. Naval Postgraduate School, this edition includes an all-new foreword by designer, engineer, and founder of Dynamicland Bret Victor, and more than 70 redrawn graphs and charts.

The Art of Doing Science and Engineering is a reminder that a childlike capacity for learning and creativity are accessible to everyone. Hamming was as much a teacher as a scientist, and having spent a lifetime forming and confirming a theory of great people, he prepares the next generation for even greater greatness.",Computer Science; Computers; Engineering (General); History; Information Technology; Inventions; Research; Technology & Engineering,en,,,,,,,,,Bookshelf (11)
9781101947906,L61oDwAAQBAJ,,Exhalation,Stories,"Chiang, Ted",368,,Knopf Doubleday Publishing Group,"NATIONAL BESTSELLER • ONE OF THE NEW YORK TIMES BEST BOOKS OF THE YEAR • Nine stunningly original, provocative, and poignant stories—two published for the very first time—all from the mind of the incomparable author of Stories of Your Life and Others

Tackling some of humanity’s oldest questions along with new quandaries only he could imagine, these stories will change the way you think, feel, and see the world. They are Ted Chiang at his best: profound, sympathetic, revelatory.

Ted Chiang tackles some of humanity’s oldest questions along with new quandaries only he could imagine.

In “The Merchant and the Alchemist’s Gate,” a portal through time forces a fabric seller in ancient Baghdad to grapple with past mistakes and second chances. In “Exhalation,” an alien scientist makes a shocking discovery with ramifications that are literally universal. In “Anxiety Is the Dizziness of Freedom,” the ability to glimpse into alternate universes necessitates a radically new examination of the concepts of choice and free will.",Collections & Anthologies; Fiction; Literary; Science Fiction; Short Stories (single author),en,,,,,,,,,Bookshelf (22); Science Fiction (2)
9781529034523,daz-ygEACAAJ,,The Hitchhiker's Guide to the Galaxy,Volume One in the Trilogy of Five,"Adams, Douglas",224,,Pan Macmillan,"It's an ordinary Thursday lunchtime for Arthur Dent until his house gets demolished. The Earth follows shortly afterwards to make way for a new hyperspace express route, and his best friend has just announced that he's an alien. At this moment, they're hurtling through space with nothing but their towels and an innocuous-looking book inscribed, in large friendly letters, with the words: DON'T PANIC. The weekend has only just begun . . . With exclusive bonus material from the Douglas Adams archives, and an introduction by former Doctor Who showrunner, Russell T Davies.",Alien Contact; Science Fiction; Young Adult Fiction,en,,,,,,,,,Bookshelf (1); Science Fiction (1)
9780553382563,X9NaAAAAYAAJ,,"I, Robot",,"Asimov, Isaac",256,,Random House Worlds,"This classic science fiction masterwork by Isaac Asimov weaves stories about robots, humanity, and the deep questions of existence into a novel of shocking intelligence and heart.

“A must-read for science-fiction buffs and literature enjoyers alike.”—The Guardian

I, Robot, the first and most widely read book in Asimov’s Robot series, forever changed the world’s perception of artificial intelligence. Here are stories of robots gone mad, of mind-reading robots, and robots with a sense of humor. Of robot politicians, and robots who secretly run the world—all told with the dramatic blend of science fact and science fiction that has become Asimov’s trademark.

The Three Laws of Robotics:
1) A robot may not injure a human being or, through inaction, allow a human being to come to harm.
2) A robot must obey orders given to it by human beings except where such orders would conflict with the First Law.
3) A robot must protect its own existence as long as such protection does not conflict with the First or Second Law.

With these three, simple directives, Isaac Asimov formulated the laws governing robots’ behavior. In I, Robot, Asimov chronicles the development of the robot from its primitive origins in the present to its ultimate perfection in the not-so-distant future—a  future in which humanity itself may be rendered obsolete.

“Tremendously exciting and entertaining . . . Asimov dramatizes an interesting question: How can we live with machines that, generation by generation, grow more intelligent than their creators and not eventually clash with our own invention?”—The Chicago Tribune",Classics; Fiction; Hard Science Fiction; Science Fiction; Short Stories (single author),en,,,,,,,,,
9780465026562,63yk44Sc59EC,,"Godel, Escher, Bach",An Eternal Golden Braid,"Hofstadter, Douglas R.",824,,Basic Books,"Winner of the Pulitzer Prize
A metaphorical fugue on minds and machines in the spirit of Lewis Carroll
Douglas Hofstadter's book is concerned directly with the nature of ""maps"" or links between formal systems. However, according to Hofstadter, the formal system that underlies all mental activity transcends the system that supports it. If life can grow out of the formal chemical substrate of the cell, if consciousness can emerge out of a formal system of firing neurons, then so too will computers attain human intelligence. Gödel, Escher, Bach is a wonderful exploration of fascinating ideas at the heart of cognitive science: meaning, reduction, recursion, and much more.",Computers; Logic; Machine Theory; Mathematics; Philosophy,en,,,,,,,,,Bookshelf (26)
9781476766690,yHfxyQEACAAJ,,A Mind at Play,How Claude Shannon Invented the Information Age,"Soni, Jimmy; Goodman, Rob",384,,Simon & Schuster,"Winner of the Neumann Prize for the History of Mathematics

""We owe Claude Shannon a lot, and Soni & Goodman’s book takes a big first step in paying that debt."" —San Francisco Review of Books

""Soni and Goodman are at their best when they invoke the wonder an idea can instill. They summon the right level of awe while stopping short of hyperbole."" —Financial Times

""Jimmy Soni and Rob Goodman make a convincing case for their subtitle while reminding us that Shannon never made this claim himself."" —The Wall Street Journal

“A charming account of one of the twentieth century’s most distinguished scientists…Readers will enjoy this portrait of a modern-day Da Vinci.” —Fortune

In their second collaboration, biographers Jimmy Soni and Rob Goodman present the story of Claude Shannon—one of the foremost intellects of the twentieth century and the architect of the Information Age, whose insights stand behind every computer built, email sent, video streamed, and webpage loaded. Claude Shannon was a groundbreaking polymath, a brilliant tinkerer, and a digital pioneer. He constructed the first wearable computer, outfoxed Vegas casinos, and built juggling robots. He also wrote the seminal text of the digital revolution, which has been called “the Magna Carta of the Information Age.” In this elegantly written, exhaustively researched biography, Soni and Goodman reveal Claude Shannon’s full story for the first time. With unique access to Shannon’s family and friends, A Mind at Play brings this singular innovator and always playful genius to life.",Biography & Autobiography; Computers; Digital; Electronics; Information Theory; Science & Technology; Technology & Engineering,en,,,,,,,,,Bookshelf (10)
9780553900347,IwywDY4P6gsC,,Foundation,,"Asimov, Isaac",320,,Random House Worlds,"The first novel in Isaac Asimov’s classic science-fiction masterpiece, the Foundation series

THE EPIC SAGA THAT INSPIRED THE APPLE TV+ SERIES FOUNDATION • Nominated as one of America’s best-loved novels by PBS’s The Great American Read

For twelve thousand years the Galactic Empire has ruled supreme. Now it is dying. But only Hari Seldon, creator of the revolutionary science of psychohistory, can see into the future—to a dark age of ignorance, barbarism, and warfare that will last thirty thousand years. To preserve knowledge and save humankind, Seldon gathers the best minds in the Empire—both scientists and scholars—and brings them to a bleak planet at the edge of the galaxy to serve as a beacon of hope for future generations. He calls his sanctuary the Foundation.

The Foundation novels of Isaac Asimov are among the most influential in the history of science fiction, celebrated for their unique blend of breathtaking action, daring ideas, and extensive worldbuilding. In Foundation, Asimov has written a timely and timeless novel of the best—and worst—that lies in humanity, and the power of even a few courageous souls to shine a light in a universe of darkness.",Classics; Fiction; Hard Science Fiction; Science Fiction; Space Opera,en,,,,,,,,,Science Fiction (8)
9781501197253,1RbuDwAAQBAJ,,The Founders,The Story of Paypal and the Entrepreneurs Who Shaped Silicon Valley,"Soni, Jimmy",496,,Simon and Schuster,"A SABEW BEST IN BUSINESS BOOK AWARDS FINALIST
NAMED A BEST BOOK OF 2022 BY THE NEW YORKER
National Bestseller * New York Times Editors’ Choice * Financial Times “Books to Read in 2022”

“A gripping account of PayPal’s origins and a vivid portrait of the geeks and contrarians who made its meteoric rise possible” (The Wall Street Journal)—including Elon Musk, Amy Rowe Klement, Peter Thiel, Julie Anderson, Max Levchin, Reid Hoffman, and many others whose stories have never been shared.

Today, PayPal’s founders and earliest employees are considered the technology industry’s most powerful network. Since leaving PayPal, they have formed, funded, and advised the leading companies of our era, including Tesla, Facebook, YouTube, SpaceX, Yelp, Palantir, and LinkedIn, among many others. As a group, they have driven twenty-first-century innovation and entrepreneurship. Their names stir passions; they’re as controversial as they are admired.

Yet for all their influence, the story of where they first started has gone largely untold. Before igniting the commercial space race or jumpstarting social media’s rise, they were the unknown creators of a scrappy online payments start-up called PayPal. In building what became one of the world’s foremost companies, they faced bruising competition, internal strife, the emergence of widespread online fraud, and the devastating dot-com bust of the 2000s. Their success was anything but certain.

In The Founders: The Story of PayPal and the Entrepreneurs Who Shaped Silicon Valley, award-winning author and biographer Jimmy Soni explores PayPal’s turbulent early days. With hundreds of interviews and unprecedented access to thousands of pages of internal material, he shows how the seeds of so much of what shapes our world today—fast-scaling digital start-ups, cashless currency concepts, mobile money transfer—were planted two decades ago. He also reveals the stories of countless individuals who were left out of the front-page features and banner headlines but who were central to PayPal’s success.

Described as “an intensely magnetic chronicle” (The New York Times) and “engrossing” (Business Insider), The Founders is a story of iteration and inventiveness—the products of which have cast a long and powerful shadow over modern life. This narrative illustrates how this rare assemblage of talent came to work together and how their collaboration changed our world forever.",Biography & Autobiography; Business & Economics; Digital Marketing; E-Commerce; Entrepreneurship; Science & Technology,en,,,,,,,,,Bookshelf (12)
,,AppleID:1436232309,The Dream Machine,,"Waldrop, M. Mitchell",,,,"Behind every great revolution is a vision, and behind perhaps the greatest revolution of our time, personal computing, is the vision of J. C. R. Licklider. He did not design the first personal computers or write the software that ran on them, nor was he involved in the legendary early companies that brought them to the forefront of our everyday experience. He was instead a relentless visionary who saw the potential of the way that individuals could interact with computers and software. 

At a time when computers were a short step removed from mechanical data processors, Licklider was writing treatises on “human-computer symbiosis,” “computers as communication devices,” and a now not-so-unfamiliar “Intergalactic Network.” His ideas became so influential, his passion so contagious, that author M. Mitchell Waldrop calls him “computing’s Johnny Appleseed.” 

In a simultaneously compelling personal narrative and comprehensive historical exposition, Waldrop tells the story of the man who not only instigated the work that led to the internet but also shifted our understanding of what computers were and could be.

Included in this edition are also the original texts of Licklider’s three most influential writings: “Man-computer symbiosis” (1960), which outlines the vision that led to the personal computer revolution of the 1970s; his “Intergalactic Network” memo (1963), which outlines the vision that inspired the internet; and “The Computer as a Communication Device” (1968, co-authored with Robert Taylor), which amplifies his vision for what the network could become.",Computers; Computers & Internet; Engineering; Professional & Technical,,,,,,,,,,
